,X1,X2,X3,X4,X5,X6,X7,X8,avg1,date_txt,yr,mon,day,date,avg_sm,avg_sm2,r0_t,r0_t_sm
1,0.006032535,0.005200338,0.005053954,0.005264885,0.005556893,0.006005617,0.006208668,0.006514936,0.005729728,20200614,2020,6,0,6/14/2020,0.01044,0.01044,2.950516031,NA
2,0.006727062,0.00706272,0.006967437,0.005807673,0.006173892,0.006650762,0.006851317,0.007262862,0.006687966,20200615,2020,6,1,6/15/2020,0.01044,0.01044,2.764334934,NA
3,0.00745183,0.007513541,0.007383615,0.007134811,0.007054217,0.006912006,0.006904819,0.007335346,0.007211273,20200616,2020,6,2,6/16/2020,0.01044,0.01044,2.678546916,NA
4,0.007693129,0.007742053,0.007828984,0.007696965,0.007501587,0.007563379,0.008454383,0.009294106,0.007971823,20200617,2020,6,3,6/17/2020,0.01044,0.01044,2.570736961,NA
5,0.010501167,0.01193333,0.012160905,0.011888711,0.011707955,0.012200192,0.012520724,0.012111776,0.011878095,20200618,2020,6,4,6/18/2020,0.01044,0.01044,2.234686754,NA
6,0.012349315,0.01248411,0.013141314,0.013075756,0.012013976,0.011052342,0.010969519,0.011510374,0.012074588,20200619,2020,6,5,6/19/2020,0.01044,0.01044,2.224426762,NA
7,0.01242801,0.012347221,0.012092272,0.012066847,0.012073888,0.01210307,0.012378247,0.012734849,0.01227805,20200620,2020,6,6,6/20/2020,0.01044,0.01044,2.21427533,NA
8,0.013375669,0.013099213,0.01253822,0.012502124,0.013002207,0.012583327,0.01257758,0.01292117,0.012824939,20200621,2020,6,7,6/21/2020,0.01044,0.01044,2.189207573,NA
9,0.013316987,0.013561556,0.013413837,0.013114979,0.012569858,0.011795564,0.011946907,0.012882398,0.012825261,20200622,2020,6,8,6/22/2020,0.01044,0.01044,2.189193718,NA
10,0.013775009,0.01351361,0.013316764,0.013752606,0.013837629,0.013839021,0.014195336,0.013336237,0.013695776,20200623,2020,6,9,6/23/2020,0.01044,0.01044,2.15520225,NA
11,0.014170227,0.014763162,0.015231722,0.015818885,0.015970377,0.012419612,0.008755162,0.008430016,0.013194895,20200624,2020,6,10,6/24/2020,0.01044,0.01044,2.173934628,NA
12,0.008924938,0.010148128,0.010505259,0.009762784,0.00796154,0.007162717,0.007996968,0.009245364,0.008963462,20200625,2020,6,11,6/25/2020,0.01044,0.01044,2.455470351,NA
13,0.010358605,0.011186134,0.011282108,0.010399085,0.009575152,0.008562992,0.00784825,0.007766871,0.0096224,20200626,2020,6,12,6/26/2020,0.01044,0.01044,2.392062922,NA
14,0.008100639,0.009213553,0.010323221,0.01091813,0.010673149,0.011497383,0.01393569,0.014742872,0.01117558,20200627,2020,6,13,6/27/2020,0.010438131,0.010438131,2.275358507,2.390568117
15,0.015198403,0.014952593,0.014837362,0.014687214,0.013722275,0.012020001,0.01203652,0.012456148,0.013738815,20200628,2020,6,14,6/28/2020,0.011010209,0.011010209,2.153690055,2.333651976
16,0.014267968,0.014891171,0.013255105,0.012057245,0.012559658,0.011530409,0.011299857,0.010920249,0.012597708,20200629,2020,6,15,6/29/2020,0.011432333,0.011432333,2.199245902,2.293288474
17,0.011382596,0.011616254,0.011245889,0.01138233,0.011530652,0.01086943,0.010822995,0.011023175,0.011234165,20200630,2020,6,16,6/30/2020,0.011719683,0.011719683,2.27171282,2.264228895
18,0.011582449,0.011971369,0.012179242,0.012267395,0.012256238,0.011164499,0.011110332,0.011412357,0.011742985,20200701,2020,7,17,7/1/2020,0.011989051,0.011989051,2.242012441,2.240748572
19,0.012000901,0.01251368,0.012437511,0.012084831,0.012210725,0.011217938,0.010996427,0.010825233,0.011785906,20200702,2020,7,18,7/2/2020,0.011982466,0.011982466,2.239660827,2.241103863
20,0.012233133,0.013152251,0.012188459,0.013087735,0.013704672,0.011915828,0.012654285,0.014915071,0.012981429,20200703,2020,7,19,7/3/2020,0.012047241,0.012047241,2.182589976,2.238115521
21,0.015284211,0.0149692,0.013645384,0.01161167,0.011702977,0.011718819,0.010585529,0.010588926,0.01251334,20200704,2020,7,20,7/4/2020,0.012064047,0.012064047,2.203107116,2.237317792
22,0.011519584,0.012793794,0.012888025,0.013384559,0.014003593,0.011080132,0.009084344,0.009586432,0.011792558,20200705,2020,7,21,7/5/2020,0.011990306,0.011990306,2.23929841,2.240895709
23,0.01055785,0.011465121,0.011582095,0.011597389,0.011105916,0.009183801,0.008943303,0.010810785,0.010655783,20200706,2020,7,22,7/6/2020,0.011835343,0.011835343,2.309924191,2.249519314
24,0.013978741,0.013014447,0.01309,0.012985367,0.013400443,0.01311391,0.013299544,0.013944946,0.013353425,20200707,2020,7,23,7/7/2020,0.011810889,0.011810889,2.167773368,2.250417251
25,0.015044415,0.015706884,0.015904784,0.014832028,0.01500083,0.014576121,0.015275272,0.016052501,0.015299105,20200708,2020,7,24,7/8/2020,0.01196119,0.01196119,2.107767052,2.245690996
26,0.015580568,0.014656593,0.014619201,0.01452421,0.014390525,0.013253282,0.013527257,0.013417792,0.014246179,20200709,2020,7,25,7/9/2020,0.012338527,0.012338527,2.136935854,2.222938532
27,0.013404555,0.015097633,0.015769137,0.015730906,0.015628804,0.01615773,0.0163523,0.017021852,0.015645364,20200710,2020,7,26,7/10/2020,0.012768739,0.012768739,2.099603554,2.202048577
28,0.017137304,0.016961612,0.016762679,0.015587039,0.016516797,0.016760854,0.017028272,0.017325936,0.016760062,20200711,2020,7,27,7/11/2020,0.01316763,0.01316763,2.077293063,2.187901045
29,0.017615642,0.016074225,0.014831332,0.01369515,0.013194988,0.012465918,0.011148635,0.011092234,0.013764766,20200712,2020,7,28,7/12/2020,0.013169484,0.013169484,2.152785363,2.187836424
30,0.012523309,0.012904434,0.013426688,0.013092598,0.012707767,0.01227521,0.012107291,0.011591744,0.01257863,20200713,2020,7,29,7/13/2020,0.013168121,0.013168121,2.200112537,2.187898327
31,0.010640365,0.010374159,0.011103486,0.011363572,0.011022674,0.010357704,0.010535864,0.010700111,0.010762242,20200714,2020,7,30,7/14/2020,0.013134412,0.013134412,2.302508157,2.190097993
32,0.010663746,0.011003483,0.01108049,0.011529041,0.012253221,0.011462499,0.011190372,0.011616116,0.011349871,20200715,2020,7,31,7/15/2020,0.013106333,0.013106333,2.264653807,2.191715234
33,0.011948789,0.011778973,0.011830057,0.011486805,0.010620749,0.010067794,0.010309719,0.010357998,0.011050111,20200716,2020,7,32,7/16/2020,0.013053776,0.013053776,2.283331643,2.194834578
34,0.010142903,0.010653405,0.011174227,0.011826149,0.012829562,0.014497882,0.015442367,0.015877349,0.01280548,20200717,2020,7,33,7/17/2020,0.013041208,0.013041208,2.190047009,2.195367223
35,0.016083969,0.01461146,0.013095724,0.012348061,0.011570535,0.010115313,0.008463257,0.009045689,0.011916751,20200718,2020,7,34,7/18/2020,0.012998595,0.012998595,2.232631896,2.197476136
36,0.010335277,0.011664475,0.011876226,0.010562287,0.010282482,0.0103233,0.011688062,0.013192071,0.011240522,20200719,2020,7,35,7/19/2020,0.012959164,0.012959164,2.27132012,2.199763401
37,0.014303662,0.014468404,0.017073289,0.017813781,0.016660245,0.015889673,0.014134554,0.012639138,0.015372843,20200720,2020,7,36,7/20/2020,0.013296096,0.013296096,2.105974278,2.18519555
38,0.011276277,0.010773657,0.01124406,0.012601295,0.012733413,0.010908543,0.010275849,0.010725241,0.011317292,20200721,2020,7,37,7/21/2020,0.013150658,0.013150658,2.266622638,2.192256212
39,0.011657045,0.012504789,0.012899164,0.013482043,0.014230032,0.013858465,0.014232801,0.015622105,0.013560806,20200722,2020,7,38,7/22/2020,0.013026494,0.013026494,2.160041791,2.195990122
40,0.017346257,0.017376605,0.015229808,0.015028465,0.01544796,0.015467433,0.01486595,0.01552121,0.015785461,20200723,2020,7,39,7/23/2020,0.013136443,0.013136443,2.096479047,2.19310035
41,0.015813753,0.015651908,0.015416763,0.01323969,0.012464528,0.014096522,0.013871505,0.013539246,0.014261739,20200724,2020,7,40,7/24/2020,0.013037613,0.013037613,2.136451952,2.195732379
42,0.012982395,0.013081732,0.013082061,0.012617151,0.01188772,0.010836935,0.011465071,0.012668615,0.01232771,20200725,2020,7,41,7/25/2020,0.012721016,0.012721016,2.211868169,2.205344886
43,0.013350653,0.013693687,0.013226718,0.013365106,0.013302526,0.012000722,0.011916911,0.011984971,0.012855162,20200726,2020,7,42,7/26/2020,0.012656044,0.012656044,2.187911102,2.207853868
44,0.011436866,0.010954587,0.010586086,0.010494532,0.011157509,0.011129421,0.012433385,0.014571123,0.011595438,20200727,2020,7,43,7/27/2020,0.012585816,0.012585816,2.25027392,2.211436824
45,0.014644536,0.012936365,0.012404653,0.012485468,0.013088386,0.013610603,0.013490299,0.013055857,0.013214521,20200728,2020,7,44,7/28/2020,0.012760979,0.012760979,2.173159779,2.202197654
46,0.013243555,0.013504783,0.012629904,0.010923628,0.011452893,0.010930179,0.010920042,0.011631264,0.011904531,20200729,2020,7,45,7/29/2020,0.012800598,0.012800598,2.233279536,2.199956634
47,0.012902457,0.010848518,0.008168585,0.008531372,0.01148507,0.012085713,0.011039101,0.010473493,0.010691788,20200730,2020,7,46,7/30/2020,0.012775003,0.012775003,2.307395867,2.201675508
48,0.010519605,0.011432193,0.012387303,0.01183416,0.011839475,0.012452094,0.012687033,0.012916981,0.012008606,20200731,2020,7,47,7/31/2020,0.012718084,0.012718084,2.227821053,2.204373654
49,0.012802886,0.013464664,0.012205277,0.01162162,0.011858471,0.010056816,0.010059053,0.010784163,0.011606619,20200801,2020,8,48,8/1/2020,0.012695931,0.012695931,2.249638159,2.205588387
50,0.012007582,0.012316483,0.014128148,0.014738529,0.014952046,0.016075851,0.017059004,0.017585976,0.014857952,20200802,2020,8,49,8/2/2020,0.012954319,0.012954319,2.119144148,2.194718674
51,0.017096275,0.0154441,0.015308974,0.011261234,0.011600637,0.010276758,0.009872095,0.010409339,0.012658677,20200803,2020,8,50,8/3/2020,0.01276045,0.01276045,2.196501354,2.201184894
52,0.012264392,0.014660828,0.014421023,0.012929427,0.013985827,0.016137499,0.017427042,0.015672423,0.014687308,20200804,2020,8,51,8/4/2020,0.013001166,0.013001166,2.123860475,2.190987597
53,0.013967561,0.014055547,0.01456734,0.014178636,0.012794983,0.011440746,0.010746365,0.010505486,0.012782083,20200805,2020,8,52,8/5/2020,0.012945542,0.012945542,2.191061313,2.193203277
54,0.009779838,0.008282664,0.00775974,0.007681843,0.008894173,0.009141548,0.009603169,0.010295496,0.008929809,20200806,2020,8,53,8/6/2020,0.012455853,0.012455853,2.458970859,2.219095549
55,0.010320072,0.010015912,0.00972982,0.009456974,0.009034961,0.010454962,0.012233776,0.013292369,0.010567356,20200807,2020,8,54,8/7/2020,0.012191968,0.012191968,2.316222089,2.231936273
56,0.013185637,0.012473953,0.012332135,0.013346929,0.013816356,0.012374605,0.011941829,0.012458446,0.012741236,20200808,2020,8,55,8/8/2020,0.012221506,0.012221506,2.192845052,2.230577479
57,0.013095364,0.01327429,0.013487251,0.013708206,0.013651147,0.012300444,0.012300532,0.012292945,0.013013772,20200809,2020,8,56,8/9/2020,0.012232835,0.012232835,2.1812514,2.230101786
58,0.013369918,0.013968531,0.014357617,0.013503669,0.01305452,0.011627642,0.012093238,0.012859804,0.013104367,20200810,2020,8,57,8/10/2020,0.012340616,0.012340616,2.177553987,2.224907505
59,0.013650376,0.014483497,0.015024886,0.014387701,0.015351617,0.014050506,0.013829012,0.015227082,0.014500585,20200811,2020,8,58,8/11/2020,0.012432478,0.012432478,2.129235359,2.221770047
60,0.016144482,0.016348343,0.016269758,0.015854094,0.015511915,0.014268623,0.013847918,0.014659688,0.015363103,20200812,2020,8,59,8/12/2020,0.012679519,0.012679519,2.106209373,2.212693606
61,0.014796747,0.01412757,0.012669584,0.012511598,0.01339916,0.01336192,0.013951138,0.013561837,0.013547444,20200813,2020,8,60,8/13/2020,0.012883494,0.012883494,2.160529011,2.202203117
62,0.013199635,0.012956723,0.013072425,0.013089002,0.012560285,0.011690566,0.009840466,0.009503635,0.011989092,20200814,2020,8,61,8/14/2020,0.0128821,0.0128821,2.228834674,2.202275518
63,0.009917981,0.01018465,0.009326095,0.007614589,0.009120636,0.009060255,0.008810188,0.009648792,0.009210398,20200815,2020,8,62,8/15/2020,0.012710942,0.012710942,2.430588406,2.215200536
64,0.011355816,0.011315474,0.01097582,0.01119657,0.011236021,0.012068273,0.012409603,0.012225499,0.011597885,20200816,2020,8,63,8/16/2020,0.01247808,0.01247808,2.250134676,2.224557002
65,0.012080565,0.011397528,0.010252103,0.00932927,0.009716732,0.010146717,0.011063338,0.01218562,0.010771484,20200817,2020,8,64,8/17/2020,0.01234328,0.01234328,2.301872762,2.232083531
66,0.01329093,0.013835067,0.013362911,0.010575661,0.009503936,0.00894688,0.008831895,0.008806037,0.010894165,20200818,2020,8,65,8/18/2020,0.012072341,0.012072341,2.29356404,2.244205214
67,0.008965613,0.009340245,0.009928226,0.009930638,0.009664163,0.010386529,0.011185129,0.010868977,0.01003369,20200819,2020,8,66,8/19/2020,0.011876028,0.011876028,2.357042114,2.256060986
68,0.010038576,0.008418319,0.007288919,0.007097607,0.007469004,0.006658188,0.005828816,0.005730759,0.007316274,20200820,2020,8,67,8/20/2020,0.011760775,0.011760775,2.66253012,2.270600933
69,0.006249345,0.007866403,0.009579956,0.010268851,0.01016337,0.01070796,0.010616515,0.010955762,0.00955102,20200821,2020,8,68,8/21/2020,0.01168818,0.01168818,2.398481529,2.276476607
70,0.011348674,0.012627211,0.013259972,0.013372939,0.013201317,0.011695531,0.010693675,0.011125623,0.012165618,20200822,2020,8,69,8/22/2020,0.011647064,0.011647064,2.219826853,2.278403879
71,0.012601054,0.013779663,0.013464422,0.012664886,0.012740127,0.012521283,0.012116428,0.012470881,0.012794843,20200823,2020,8,70,8/23/2020,0.011631426,0.011631426,2.190507484,2.279065028
72,0.013238052,0.014424566,0.0150321,0.014206198,0.013296396,0.012724532,0.012435921,0.012753938,0.013513963,20200824,2020,8,71,8/24/2020,0.011660683,0.011660683,2.161756432,2.277936631
73,0.012906931,0.012761146,0.013693368,0.014245489,0.01403931,0.012765862,0.012625219,0.012544655,0.013197748,20200825,2020,8,72,8/25/2020,0.011567623,0.011567623,2.173821809,2.281121377
74,0.011919419,0.008689643,0.009008211,0.008404988,0.007261739,0.005764223,0.005037909,0.005342775,0.007678613,20200826,2020,8,73,8/26/2020,0.011018731,0.011018731,2.610106608,2.317114037
75,0.006107642,0.007505796,0.009314366,0.01000691,0.010560559,0.012853647,0.01296127,0.012909542,0.010277466,20200827,2020,8,74,8/27/2020,0.010785161,0.010785161,2.337779945,2.329774818
76,0.013811154,0.014306083,0.01493987,0.014783185,0.013798517,0.012129263,0.01040101,0.009924497,0.013011697,20200828,2020,8,75,8/28/2020,0.010858205,0.010858205,2.181336987,2.326382126
77,0.013035167,0.016715495,0.016242074,0.015819466,0.016160084,0.016380228,0.017080745,0.015520447,0.015869213,20200829,2020,8,76,8/29/2020,0.011333834,0.011333834,2.094658176,2.30238711
78,0.015754215,0.015507241,0.01095659,0.008954118,0.009344852,0.008745473,0.008301064,0.007865801,0.010678669,20200830,2020,8,77,8/30/2020,0.011268176,0.011268176,2.308314697,2.306542825
79,0.007434244,0.007172324,0.006848764,0.006851087,0.007494864,0.007714964,0.007782872,0.008303634,0.007450344,20200831,2020,8,78,8/31/2020,0.011030952,0.011030952,2.642627314,2.330882436
80,0.00708218,0.007008126,0.007421874,0.007776894,0.008434396,0.007839013,0.006969885,0.006253773,0.007348268,20201001,2020,10,79,10/1/2020,0.010777673,0.011030952,2.657725311,2.356893955
81,0.005677441,0.005092948,0.004848827,0.004714175,0.005441818,0.005885008,0.005399399,0.005569701,0.005328665,20201002,2020,10,80,10/2/2020,0.0104416,0.012760979,3.041322738,2.405771143
82,0.005215335,0.005035347,0.005672071,0.006190303,0.006093004,0.005393878,0.004528292,0.004383132,0.00531392,20201003,2020,10,81,10/3/2020,0.010298575,0.012800598,3.044821595,2.433077677
83,0.00442879,0.004494971,0.004614554,0.0049498,0.005244038,0.00514044,0.005041898,0.005259773,0.004896783,20201004,2020,10,82,10/4/2020,0.009966129,0.012775003,3.148830928,2.486674062
84,0.005863056,0.007339789,0.007748254,0.008181642,0.008532838,0.007273167,0.006807541,0.006872751,0.00732738,20201005,2020,10,83,10/5/2020,0.009620541,0.012882394,2.660858254,2.518176305
85,0.007461245,0.008366245,0.008678198,0.008765575,0.008605808,0.007361208,0.006494681,0.006028589,0.007720193,20201006,2020,10,84,10/6/2020,0.009258066,0.012998595,2.604362529,2.54773738
86,0.006145936,0.007247579,0.007940837,0.008450907,0.007825199,0.007149439,0.007786513,0.008473197,0.007627451,20201007,2020,10,85,10/7/2020,0.008837601,0.012959164,2.617249421,2.580272594
87,0.007091287,0.005843983,0.005815305,0.005797622,0.005435586,0.004771402,0.004551768,0.004138329,0.00543066,20201008,2020,10,86,10/8/2020,0.008282809,0.013296096,3.017438109,2.640530901
88,0.004022488,0.004292023,0.004614573,0.004971866,0.005362556,0.005705214,0.005777942,0.005901705,0.005081046,20201009,2020,10,87,10/9/2020,0.008097268,0.013150658,3.101667636,2.675642403
89,0.005671882,0.004867207,0.005149762,0.006381918,0.007555785,0.008697952,0.009656031,0.009927075,0.007238451,20201010,2020,10,88,10/10/2020,0.007880196,0.013026494,2.674364349,2.699684146
90,0.010041938,0.010748727,0.010582066,0.009291782,0.008010687,0.006313156,0.005547218,0.00548192,0.008252187,20201011,2020,10,89,10/11/2020,0.007540231,0.013136443,2.535470464,2.724979394
91,0.006384769,0.007204921,0.006528246,0.005944042,0.005940285,0.006122751,0.006112239,0.006100686,0.006292242,20201012,2020,10,90,10/12/2020,0.006856161,0.013106333,2.836338268,2.777956544
92,0.006727737,0.00770022,0.008148042,0.008526266,0.008315784,0.008954881,0.009415511,0.009168247,0.008369586,20201013,2020,10,91,10/13/2020,0.006691227,0.013053776,2.521358258,2.793173941
93,0.008616554,0.007779595,0.005936429,0.005785488,0.005852449,0.005442023,0.005058262,0.005474132,0.006243116,20201014,2020,10,92,10/14/2020,0.006604996,0.013041208,2.845737714,2.807681827
94,0.005404444,0.004795228,0.00523994,0.005869281,0.006690237,0.008011039,0.007234406,0.008115641,0.006420027,20201015,2020,10,93,10/15/2020,0.006538693,0.012998595,2.812375051,2.818728237
95,0.009369996,0.011071723,0.011844733,0.011834845,0.011149679,0.008164522,0.00689464,0.006781868,0.009639001,20201016,2020,10,94,10/16/2020,0.006846575,0.012959164,2.39058498,2.772246968
96,0.006248823,0.005889669,0.005189364,0.004489262,0.003985464,0.003976865,0.003242815,0.002943101,0.00449567,20201017,2020,10,95,10/17/2020,0.006788128,0.013296096,3.258597447,2.787516672
97,0.002610226,0.00261887,0.002818789,0.003152319,0.003694423,0.004855465,0.005467265,0.005571707,0.003848633,20201018,2020,10,96,10/18/2020,0.00671326,0.013150658,3.458194423,2.809614065
98,0.005837841,0.006244923,0.006651449,0.006977969,0.007172215,0.007156688,0.007167903,0.007284855,0.00681173,20201019,2020,10,97,10/19/2020,0.006676428,0.013026494,2.743114088,2.815489481
99,0.007534344,0.00802453,0.007889469,0.008433361,0.010115205,0.010849606,0.011479479,0.011758669,0.009510583,20201020,2020,10,98,10/20/2020,0.006804313,0.013136443,2.40216426,2.801046748
100,0.011809123,0.01175311,0.011695755,0.011531467,0.011330171,0.01138928,0.011989851,0.012503735,0.011750311,20201021,2020,10,99,10/21/2020,0.007098803,0.013037613,2.24160941,2.774215318
101,0.012767844,0.01278853,0.012768998,0.012558689,0.011681586,0.010544386,0.010774733,0.01121869,0.011887932,20201022,2020,10,100,10/22/2020,0.007560037,0.012721016,2.234162133,2.718267034
102,0.011615949,0.011850737,0.011787295,0.011505865,0.011072372,0.010920685,0.010630786,0.010755787,0.011267435,20201023,2020,10,101,10/23/2020,0.008001922,0.012656044,2.269664038,2.658838206
103,0.010603035,0.010258551,0.010181925,0.010020101,0.009482702,0.009887054,0.010269,0.007801448,0.009812977,20201024,2020,10,102,10/24/2020,0.008185816,0.012585816,2.375427722,2.63748559
104,0.005210286,0.004345921,0.004060855,0.0037042,0.003508028,0.003429111,0.003344287,0.003417637,0.003877541,20201025,2020,10,103,10/25/2020,0.007873342,0.012760979,3.448636041,2.702711702
105,0.004101146,0.005858638,0.006459019,0.00671209,0.006920717,0.007528545,0.008516674,0.009205034,0.006912733,20201026,2020,10,104,10/26/2020,0.007917663,0.012800598,2.726233444,2.694847072
106,0.009654488,0.010301569,0.009486319,0.00760923,0.005380159,0.005268932,0.005339058,0.005433731,0.007309186,20201027,2020,10,105,10/27/2020,0.00784192,0.012775003,2.663599256,2.705007143
107,0.005533351,0.005194305,0.005463867,0.00657405,0.007717837,0.008429129,0.008133122,0.007461393,0.006813382,20201028,2020,10,106,10/28/2020,0.007882653,0.012718084,2.742834976,2.697656948
108,0.007013728,0.006507161,0.005749219,0.005219207,0.005702452,0.006460917,0.006502262,0.006473908,0.006203607,20201029,2020,10,107,10/29/2020,0.007867194,0.012695931,2.853373864,2.700585434
109,0.005572326,0.005323286,0.005120631,0.004742677,0.003922355,0.003736261,0.003622849,0.003695571,0.004466994,20201030,2020,10,108,10/30/2020,0.007497765,0.012954319,3.266835082,2.763174728
110,0.0035253,0.003120065,0.002575188,0.001997664,0.001967097,0.002092655,0.002129176,0.002458914,0.002483257,20201031,2020,10,109,10/31/2020,0.007354022,0.01276045,3.989377735,2.815373319
111,0.002810141,0.003224307,0.003544266,0.003742698,0.00429634,0.005154392,0.006404738,0.007027788,0.004525584,20201101,2020,11,110,11/1/2020,0.007402375,0.013001166,3.250061399,2.800506675
112,0.00796899,0.004064321,0.003121159,0.0030186,0.002978514,0.002338647,0.001772286,0.001728534,0.003373881,20201102,2020,11,111,11/2/2020,0.007156814,0.012945542,3.624507914,2.863463377
113,0.001978241,0.00257237,0.002772248,0.002786897,0.0029555,0.003818493,0.003181759,0.00259038,0.002831986,20201103,2020,11,112,11/3/2020,0.006679772,0.012455853,3.837647486,2.965997893
114,0.002245194,0.002138175,0.002164809,0.002910431,0.004439729,0.004728674,0.004893197,0.005283791,0.0036005,20201104,2020,11,113,11/4/2020,0.006097642,0.012191968,3.542877581,3.058945619
115,0.004758527,0.004299957,0.004705396,0.005623254,0.005844551,0.005823378,0.007367824,0.008500306,0.005865399,20201105,2020,11,114,11/5/2020,0.005667462,0.012221506,2.921626406,3.10805021
116,0.008359379,0.007970244,0.007036211,0.006393734,0.006394099,0.005966875,0.006883878,0.007506568,0.007063874,20201106,2020,11,115,11/6/2020,0.005367207,0.012232835,2.70168671,3.138908973
117,0.007318113,0.006515846,0.005620177,0.00518128,0.00526208,0.00577481,0.006160619,0.005898732,0.005966457,20201107,2020,11,116,11/7/2020,0.005092456,0.012340616,2.900679306,3.176426943
118,0.005423752,0.00492855,0.004306183,0.004070749,0.00472648,0.005235697,0.005788923,0.005348422,0.004978594,20201108,2020,11,117,11/8/2020,0.005171102,0.012432478,3.127646506,3.153499119
119,0.005031399,0.004869266,0.004745009,0.004360981,0.004014549,0.003976665,0.00488079,0.005219353,0.004637252,20201109,2020,11,118,11/9/2020,0.005008568,0.012679519,3.218704246,3.188675605
120,0.005946169,0.008293624,0.009609287,0.00913225,0.008519644,0.00957966,0.010465316,0.010906732,0.009056585,20201110,2020,11,119,11/10/2020,0.005133382,0.012883494,2.445922469,3.173127263
121,0.010570893,0.010306607,0.010680346,0.010910742,0.01182574,0.012251294,0.012645465,0.012879533,0.011508828,20201111,2020,11,120,11/11/2020,0.005468771,0.0128821,2.255254217,3.138300066
122,0.012639088,0.012585993,0.012669758,0.011342652,0.007696373,0.005203363,0.005553018,0.004819242,0.009063686,20201112,2020,11,121,11/12/2020,0.005673063,0.012710942,2.44520271,3.109144983
